location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
lake guntersville,guntersville,alabama,May,May,8,10,1997,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/alabama-invitational-10
santee cooper lakes,manning,south carolina,April,April,10,12,1997,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/south-carolina-inv-1
lake hartwell,hartwell,georgia,November,November,21,23,1996,34.3528825,-82.932087,https://www.bassmaster.com/tournaments/georgia-invitational-3
lake gaston,south hill,virginia,September,September,19,21,1996,36.726532,-78.1288857,https://www.bassmaster.com/tournaments/virginia-invitational-10
lake murray,columbia,south carolina,October,October,11,16,1993,34.0007104,-81.0348144,https://www.bassmaster.com/tournaments/1993-bassmaster-megabucks
lake norman,mooresville,north carolina,May,May,13,16,1992,35.5859146,-80.8081413,https://www.bassmaster.com/tournaments/1992-north-carolina-bassmaster-top-100
lewisville lake,lewisville,texas,February,February,9,11,2012,33.046233,-96.994174,https://www.bassmaster.com/tournaments/2012-bass-pro-shops-central-open-1
harris chain of lakes,tavares,florida,January,January,19,21,2012,28.8041579,-81.725632,https://www.bassmaster.com/tournaments/2012-bass-pro-shops-southern-open-1
lake okeechobee,okeechobee,florida,January,January,14,16,2010,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/2010-southern-open-1
potomac river,charles county,maryland,October,October,26,28,2006,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/bassmaster-series-northeast-regional-bo
lake okeechobee,clewiston,florida,May,May,1,1,2005,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/bassmaster-series-florida-4
lake champlain,plattsburgh,new york,August,August,17,19,2006,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/2006-northern-tour-3
lake champlain,plattsburgh,new york,August,August,20,20,2006,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/patriot-3-plattsburgh-bo
lake champlain,plattsburgh,new york,August,August,6,6,2006,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/adirondack-2-plattsburgh-bo
lake champlain,plattsburgh,new york,August,August,11,13,2005,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/2005-northern-open-2
lake champlain,plattsburgh,new york,July,July,9,9,2006,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/patriot-1-plattsburgh-bo
lake champlain,ticonderoga,new york,August,August,7,7,2005,43.8486707,-73.4234531,https://www.bassmaster.com/tournaments/bassmaster-series-northeast-4-bo
sandusky bay/lake erie,sandusky,ohio,July,July,14,16,2005,41.4561754,-82.71168209999999,https://www.bassmaster.com/tournaments/northern-open-1-0
hudson river,catskill,new york,August,August,12,14,2004,42.21460709999999,-73.95949399999999,https://www.bassmaster.com/tournaments/new-york-citgo-bassmaster-open-bo-0
hudson river,catskill,new york,October,October,3,5,2002,42.21460709999999,-73.95949399999999,https://www.bassmaster.com/tournaments/new-york-northern-pro-0
smith mountain lake,moneta,virginia,October,October,14,16,2004,37.1826516,-79.6195556,https://www.bassmaster.com/tournaments/2004-northern-open-3
st. lawrence river,clayton,new york,September,September,12,14,2002,44.2025064,-76.0826811,https://www.bassmaster.com/tournaments/2002-northern-open-2
potomac river,charles county,maryland,October,October,12,14,1995,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/1995-maryland-eastern-invitational
potomac river,charles county,maryland,August,August,8,10,2002,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/2002-northern-open-1
st. lawrence river,clayton,new york,September,September,14,16,1995,44.2025064,-76.0826811,https://www.bassmaster.com/tournaments/new-york-inv-0
lake lanier,suwanee,georgia,December,December,1,3,1994,34.0514898,-84.0712997,https://www.bassmaster.com/tournaments/georgia-invitational-2
santee cooper lakes,manning,south carolina,October,October,13,15,1994,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/south-carolina-inv-0
